"","Measure","Attribute","Value","Category","Date"
"293","Regular Vessels (beam less than 91')","Used","1501","Booking Slots",2017-07-01
"294","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-07-01
"295","Auctioned booking slots","Used","3","Booking Slots",2017-07-01
"296","Neopanamax Vessels (beam 107' and over)","Percentage","7796","Booking Slots",2017-07-01
"297","Large Vessels (91' to 107’ beam)","Percentage","8452","Booking Slots",2017-07-01
"298","Regular Vessels (beam less than 91')","Percentage","6048","Booking Slots",2017-07-01
"299","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-07-01
"300","Auctioned booking slots","Percentage","3000","Booking Slots",2017-07-01
"301","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2018-06-01
"302","Large Vessels (91’ beam to under 107’ beam)","Available","423","Booking Slots",2018-06-01
"303","Regular Vessels (less than 91' beam)","Available","216","Booking Slots",2018-06-01
"304","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-06-01
"305","Auctioned booking slots","Available","8","Booking Slots",2018-06-01
"306","Neopanamax Vessels (107’ beam and Over)","Used","153","Booking Slots",2018-06-01
"307","Large Vessels (91’ beam to under 107’ beam)","Used","3081","Booking Slots",2018-06-01
"308","Regular Vessels (less than 91' beam)","Used","1271","Booking Slots",2018-06-01
"309","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-06-01
"310","Auctioned booking slots","Used","1","Booking Slots",2018-06-01
"311","Neopanamax Vessels (107’ beam and Over)","Percentage","6375","Booking Slots",2018-06-01
"312","Large Vessels (91’ beam to under 107’ beam)","Percentage","7281","Booking Slots",2018-06-01
"313","Regular Vessels (less than 91' beam)","Percentage","5880","Booking Slots",2018-06-01
"314","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2018-06-01
"315","Auctioned booking slots","Percentage","1250","Booking Slots",2018-06-01
"316","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2019-06-01
"317","Large Vessels (91’ beam to under 107’ beam)","Available","450","Booking Slots",2019-06-01
"318","Regular Vessels (less than 91' beam)","Available","240","Booking Slots",2019-06-01
"319","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2019-06-01
"320","Auctioned booking slots","Available","1","Booking Slots",2019-06-01
"321","Neopanamax Vessels (107’ beam and Over)","Used","187","Booking Slots",2019-06-01
"322","Large Vessels (91’ beam to under 107’ beam)","Used","2561","Booking Slots",2019-06-01
"323","Regular Vessels (less than 91' beam)","Used","991","Booking Slots",2019-06-01
"324","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-06-01
"325","Auctioned booking slots","Used","0","Booking Slots",2019-06-01
"326","Neopanamax Vessels (107’ beam and Over)","Percentage","7792","Booking Slots",2019-06-01
"327","Large Vessels (91’ beam to under 107’ beam)","Percentage","5689","Booking Slots",2019-06-01
"328","Regular Vessels (less than 91' beam)","Percentage","4125","Booking Slots",2019-06-01
"329","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2019-06-01
"330","Auctioned booking slots","Percentage","0","Booking Slots",2019-06-01
"331","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2018-07-01
"332","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2018-07-01
"333","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2018-07-01
"334","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2018-07-01
"335","Auctioned booking slots","Available","1","Booking Slots",2018-07-01
"336","Neopanamax Vessels (107’ beam and Over)","Used","177","Booking Slots",2018-07-01
"337","Large Vessels (91’ beam to under 107’ beam)","Used","2941","Booking Slots",2018-07-01
"338","Regular Vessels (less than 91' beam)","Used","961","Booking Slots",2018-07-01
"339","Regular Vessels (up to 300' in length)","Used","1","Booking Slots",2018-07-01
"340","Auctioned booking slots","Used","0","Booking Slots",2018-07-01
"341","Neopanamax Vessels (107’ beam and Over)","Percentage","7137","Booking Slots",2018-07-01
"342","Large Vessels (91’ beam to under 107’ beam)","Percentage","6323","Booking Slots",2018-07-01
"343","Regular Vessels (less than 91' beam)","Percentage","3871","Booking Slots",2018-07-01
"344","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-07-01
"345","Auctioned booking slots","Percentage","000","Booking Slots",2018-07-01
"346","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-07-01
"347","Large Vessels (91’ beam to under 107’ beam)","Available","455","Booking Slots",2019-07-01
"348","Regular Vessels (less than 91' beam)","Available","244","Booking Slots",2019-07-01
"349","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2019-07-01
"350","Auctioned booking slots","Available","2","Booking Slots",2019-07-01
"351","Neopanamax Vessels (107’ beam and Over)","Used","208","Booking Slots",2019-07-01
"352","Large Vessels (91’ beam to under 107’ beam)","Used","2591","Booking Slots",2019-07-01
"353","Regular Vessels (less than 91' beam)","Used","1121","Booking Slots",2019-07-01
"354","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-07-01
"355","Auctioned booking slots","Used","2","Booking Slots",2019-07-01
"356","Neopanamax Vessels (107’ beam and Over)","Percentage","8387","Booking Slots",2019-07-01
"357","Large Vessels (91’ beam to under 107’ beam)","Percentage","5692","Booking Slots",2019-07-01
"358","Regular Vessels (less than 91' beam)","Percentage","4590","Booking Slots",2019-07-01
"359","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2019-07-01
"360","Auctioned booking slots","Percentage","10000","Booking Slots",2019-07-01
"361","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-08-01
"362","Large Vessels (91' to 107’ beam)","Available","410","Booking Slots",2017-08-01
"363","Regular Vessels (beam less than 91')","Available","226","Booking Slots",2017-08-01
"364","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2017-08-01
"365","Auctioned booking slots","Available","17","Booking Slots",2017-08-01
"366","Neopanamax Vessels (beam 107' and over)","Used","133","Booking Slots",2017-08-01
"367","Large Vessels (91' to 107’ beam)","Used","3481","Booking Slots",2017-08-01
"368","Regular Vessels (beam less than 91')","Used","1321","Booking Slots",2017-08-01
"369","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-08-01
"370","Auctioned booking slots","Used","10","Booking Slots",2017-08-01
"371","Neopanamax Vessels (beam 107' and over)","Percentage","7151","Booking Slots",2017-08-01
"372","Large Vessels (91' to 107’ beam)","Percentage","8488","Booking Slots",2017-08-01
"373","Regular Vessels (beam less than 91')","Percentage","5841","Booking Slots",2017-08-01
"374","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-08-01
"375","Auctioned booking slots","Percentage","5882","Booking Slots",2017-08-01
"376","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2018-08-01
"377","Large Vessels (91’ beam to under 107’ beam)","Available","415","Booking Slots",2018-08-01
"378","Regular Vessels (less than 91' beam)","Available","228","Booking Slots",2018-08-01
"379","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-08-01
"380","Auctioned booking slots","Available","13","Booking Slots",2018-08-01
"381","Neopanamax Vessels (107’ beam and Over)","Used","177","Booking Slots",2018-08-01
"382","Large Vessels (91’ beam to under 107’ beam)","Used","2951","Booking Slots",2018-08-01
"383","Regular Vessels (less than 91' beam)","Used","1261","Booking Slots",2018-08-01
"384","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-08-01
"385","Auctioned booking slots","Used","5","Booking Slots",2018-08-01
"386","Neopanamax Vessels (107’ beam and Over)","Percentage","7137","Booking Slots",2018-08-01
"387","Large Vessels (91’ beam to under 107’ beam)","Percentage","7108","Booking Slots",2018-08-01
"388","Regular Vessels (less than 91' beam)","Percentage","5526","Booking Slots",2018-08-01
"389","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2018-08-01
"390","Auctioned booking slots","Percentage","3846","Booking Slots",2018-08-01
"391","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-08-01
"392","Large Vessels (91’ beam to under 107’ beam)","Available","423","Booking Slots",2019-08-01
"393","Regular Vessels (less than 91' beam)","Available","224","Booking Slots",2019-08-01
"394","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2019-08-01
"395","Auctioned booking slots","Available","21","Booking Slots",2019-08-01
"396","Neopanamax Vessels (107’ beam and Over)","Used","202","Booking Slots",2019-08-01
"397","Large Vessels (91’ beam to under 107’ beam)","Used","4021","Booking Slots",2019-08-01
"398","Regular Vessels (less than 91' beam)","Used","1541","Booking Slots",2019-08-01
"399","Regular Vessels (up to 300' in length)","Used","3","Booking Slots",2019-08-01
"400","Auctioned booking slots","Used","13","Booking Slots",2019-08-01
"401","Neopanamax Vessels (107’ beam and Over)","Percentage","8145","Booking Slots",2019-08-01
"402","Large Vessels (91’ beam to under 107’ beam)","Percentage","9504","Booking Slots",2019-08-01
"403","Regular Vessels (less than 91' beam)","Percentage","6875","Booking Slots",2019-08-01
"404","Regular Vessels (up to 300' in length)","Percentage","7500","Booking Slots",2019-08-01
"405","Auctioned booking slots","Percentage","6190","Booking Slots",2019-08-01
"406","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2018-09-01
"407","Large Vessels (91’ beam to under 107’ beam)","Available","435","Booking Slots",2018-09-01
"408","Regular Vessels (less than 91' beam)","Available","234","Booking Slots",2018-09-01
"409","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2018-09-01
"410","Auctioned booking slots","Available","3","Booking Slots",2018-09-01
"411","Neopanamax Vessels (107’ beam and Over)","Used","171","Booking Slots",2018-09-01
"412","Large Vessels (91’ beam to under 107’ beam)","Used","2931","Booking Slots",2018-09-01
"413","Regular Vessels (less than 91' beam)","Used","1291","Booking Slots",2018-09-01
"414","Regular Vessels (up to 300' in length)","Used","1","Booking Slots",2018-09-01
"415","Auctioned booking slots","Used","0","Booking Slots",2018-09-01
"416","Neopanamax Vessels (107’ beam and Over)","Percentage","7125","Booking Slots",2018-09-01
"417","Large Vessels (91’ beam to under 107’ beam)","Percentage","6736","Booking Slots",2018-09-01
"418","Regular Vessels (less than 91' beam)","Percentage","5513","Booking Slots",2018-09-01
"419","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2018-09-01
"420","Auctioned booking slots","Percentage","0","Booking Slots",2018-09-01
"421","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2018-10-01
"422","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2018-10-01
"423","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2018-10-01
"424","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-10-01
"425","Auctioned booking slots","Available","4","Booking Slots",2018-10-01
"426","Neopanamax Vessels (107’ beam and Over)","Used","166","Booking Slots",2018-10-01
"427","Large Vessels (91’ beam to under 107’ beam)","Used","3341","Booking Slots",2018-10-01
"428","Regular Vessels (less than 91' beam)","Used","1321","Booking Slots",2018-10-01
"429","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-10-01
"430","Auctioned booking slots","Used","0","Booking Slots",2018-10-01
"431","Neopanamax Vessels (107’ beam and Over)","Percentage","6694","Booking Slots",2018-10-01
"432","Large Vessels (91’ beam to under 107’ beam)","Percentage","7183","Booking Slots",2018-10-01
"433","Regular Vessels (less than 91' beam)","Percentage","5323","Booking Slots",2018-10-01
"434","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2018-10-01
"435","Auctioned booking slots","Percentage","0","Booking Slots",2018-10-01
"436","Neopanamax Vessels (beam 107' and over)","Available","180","Booking Slots",2017-09-01
"437","Large Vessels (91' to 107’ beam)","Available","448","Booking Slots",2017-09-01
"438","Regular Vessels (beam less than 91')","Available","238","Booking Slots",2017-09-01
"439","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2017-09-01
"440","Auctioned booking slots","Available","2","Booking Slots",2017-09-01
"441","Neopanamax Vessels (beam 107' and over)","Used","138","Booking Slots",2017-09-01
"442","Large Vessels (91' to 107’ beam)","Used","2971","Booking Slots",2017-09-01
"443","Regular Vessels (beam less than 91')","Used","1441","Booking Slots",2017-09-01
"444","Regular Vessels (up to 300' in length)","Used","1","Booking Slots",2017-09-01
"445","Auctioned booking slots","Used","0","Booking Slots",2017-09-01
"446","Neopanamax Vessels (beam 107' and over)","Percentage","7667","Booking Slots",2017-09-01
"447","Large Vessels (91' to 107’ beam)","Percentage","6629","Booking Slots",2017-09-01
"448","Regular Vessels (beam less than 91')","Percentage","6050","Booking Slots",2017-09-01
"449","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-09-01
"450","Auctioned booking slots","Percentage","000","Booking Slots",2017-09-01
"451","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2018-11-01
"452","Large Vessels (91’ beam to under 107’ beam)","Available","448","Booking Slots",2018-11-01
"453","Regular Vessels (less than 91' beam)","Available","238","Booking Slots",2018-11-01
"454","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2018-11-01
"455","Auctioned booking slots","Available","3","Booking Slots",2018-11-01
"456","Neopanamax Vessels (107’ beam and Over)","Used","176","Booking Slots",2018-11-01
"457","Large Vessels (91’ beam to under 107’ beam)","Used","3031","Booking Slots",2018-11-01
"458","Regular Vessels (less than 91' beam)","Used","1241","Booking Slots",2018-11-01
"459","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2018-11-01
"460","Auctioned booking slots","Used","0","Booking Slots",2018-11-01
"461","Neopanamax Vessels (107’ beam and Over)","Percentage","7333","Booking Slots",2018-11-01
"462","Large Vessels (91’ beam to under 107’ beam)","Percentage","6763","Booking Slots",2018-11-01
"463","Regular Vessels (less than 91' beam)","Percentage","5210","Booking Slots",2018-11-01
"464","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2018-11-01
"465","Auctioned booking slots","Percentage","0","Booking Slots",2018-11-01
"466","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2019-09-01
"467","Large Vessels (91’ beam to under 107’ beam)","Available","405","Booking Slots",2019-09-01
"468","Regular Vessels (less than 91' beam)","Available","216","Booking Slots",2019-09-01
"469","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2019-09-01
"470","Auctioned booking slots","Available","10","Booking Slots",2019-09-01
"471","Neopanamax Vessels (107’ beam and Over)","Used","195","Booking Slots",2019-09-01
"472","Large Vessels (91’ beam to under 107’ beam)","Used","3171","Booking Slots",2019-09-01
"473","Regular Vessels (less than 91' beam)","Used","1351","Booking Slots",2019-09-01
"474","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2019-09-01
"475","Auctioned booking slots","Used","8","Booking Slots",2019-09-01
"476","Neopanamax Vessels (107’ beam and Over)","Percentage","8125","Booking Slots",2019-09-01
"477","Large Vessels (91’ beam to under 107’ beam)","Percentage","7827","Booking Slots",2019-09-01
"478","Regular Vessels (less than 91' beam)","Percentage","6250","Booking Slots",2019-09-01
"479","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2019-09-01
"480","Auctioned booking slots","Percentage","8000","Booking Slots",2019-09-01
"481","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-10-01
"482","Large Vessels (91' to 107’ beam)","Available","465","Booking Slots",2017-10-01
"483","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2017-10-01
"484","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2017-10-01
"485","Auctioned booking slots","Available","10","Booking Slots",2017-10-01
"486","Neopanamax Vessels (beam 107' and over)","Used","160","Booking Slots",2017-10-01
"487","Large Vessels (91' to 107’ beam)","Used","4031","Booking Slots",2017-10-01
"488","Regular Vessels (beam less than 91')","Used","1401","Booking Slots",2017-10-01
"489","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-10-01
"490","Auctioned booking slots","Used","3","Booking Slots",2017-10-01
"491","Neopanamax Vessels (beam 107' and over)","Percentage","8602","Booking Slots",2017-10-01
"492","Large Vessels (91' to 107’ beam)","Percentage","8667","Booking Slots",2017-10-01
"493","Regular Vessels (beam less than 91')","Percentage","5645","Booking Slots",2017-10-01
"494","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-10-01
"495","Auctioned booking slots","Percentage","3000","Booking Slots",2017-10-01
"496","Neopanamax Vessels (beam 107' and over)","Available","180","Booking Slots",2017-11-01
"497","Large Vessels (91' to 107’ beam)","Available","450","Booking Slots",2017-11-01
"498","Regular Vessels (beam less than 91')","Available","240","Booking Slots",2017-11-01
"499","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2017-11-01
"500","Auctioned booking slots","Available","5","Booking Slots",2017-11-01
"501","Neopanamax Vessels (beam 107' and over)","Used","159","Booking Slots",2017-11-01
"502","Large Vessels (91' to 107’ beam)","Used","3611","Booking Slots",2017-11-01
"503","Regular Vessels (beam less than 91')","Used","1491","Booking Slots",2017-11-01
"504","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2017-11-01
"505","Auctioned booking slots","Used","3","Booking Slots",2017-11-01
"506","Neopanamax Vessels (beam 107' and over)","Percentage","8833","Booking Slots",2017-11-01
"507","Large Vessels (91' to 107’ beam)","Percentage","8022","Booking Slots",2017-11-01
"508","Regular Vessels (beam less than 91')","Percentage","6208","Booking Slots",2017-11-01
"509","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2017-11-01
"510","Auctioned booking slots","Percentage","6000","Booking Slots",2017-11-01
"511","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-10-01
"512","Large Vessels (91’ beam to under 107’ beam)","Available","460","Booking Slots",2019-10-01
"513","Regular Vessels (less than 91' beam)","Available","246","Booking Slots",2019-10-01
"514","Regular Vessels (up to 300' in length)","Available","2","Booking Slots",2019-10-01
"515","Auctioned booking slots","Available","22","Booking Slots",2019-10-01
"516","Neopanamax Vessels (107’ beam and Over)","Used","225","Booking Slots",2019-10-01
"517","Large Vessels (91’ beam to under 107’ beam)","Used","4321","Booking Slots",2019-10-01
"518","Regular Vessels (less than 91' beam)","Used","1551","Booking Slots",2019-10-01
"519","Regular Vessels (up to 300' in length)","Used","2","Booking Slots",2019-10-01
"520","Auctioned booking slots","Used","9","Booking Slots",2019-10-01
"521","Neopanamax Vessels (107’ beam and Over)","Percentage","9073","Booking Slots",2019-10-01
"522","Large Vessels (91’ beam to under 107’ beam)","Percentage","9391","Booking Slots",2019-10-01
"523","Regular Vessels (less than 91' beam)","Percentage","6301","Booking Slots",2019-10-01
"524","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2019-10-01
"525","Auctioned booking slots","Percentage","4091","Booking Slots",2019-10-01
"526","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2019-11-01
"527","Large Vessels (91’ beam to under 107’ beam)","Available","450","Booking Slots",2019-11-01
"528","Regular Vessels (less than 91' beam)","Available","240","Booking Slots",2019-11-01
"529","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2019-11-01
"530","Auctioned booking slots","Available","25","Booking Slots",2019-11-01
"531","Neopanamax Vessels (107’ beam and Over)","Used","225","Booking Slots",2019-11-01
"532","Large Vessels (91’ beam to under 107’ beam)","Used","4341","Booking Slots",2019-11-01
"533","Regular Vessels (less than 91' beam)","Used","1561","Booking Slots",2019-11-01
"534","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-11-01
"535","Auctioned booking slots","Used","15","Booking Slots",2019-11-01
"536","Neopanamax Vessels (107’ beam and Over)","Percentage","9375","Booking Slots",2019-11-01
"537","Large Vessels (91’ beam to under 107’ beam)","Percentage","9644","Booking Slots",2019-11-01
"538","Regular Vessels (less than 91' beam)","Percentage","6500","Booking Slots",2019-11-01
"539","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2019-11-01
"540","Auctioned booking slots","Percentage","2500","Booking Slots",2019-11-01
"541","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2019-12-01
"542","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2019-12-01
"543","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2019-12-01
"544","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2019-12-01
"545","Auctioned booking slots","Available","16","Booking Slots",2019-12-01
"546","Neopanamax Vessels (107’ beam and Over)","Used","220","Booking Slots",2019-12-01
"547","Large Vessels (91’ beam to under 107’ beam)","Used","4131","Booking Slots",2019-12-01
"548","Regular Vessels (less than 91' beam)","Used","1801","Booking Slots",2019-12-01
"549","Regular Vessels (up to 300' in length)","Used","4","Booking Slots",2019-12-01
"550","Auctioned booking slots","Used","5","Booking Slots",2019-12-01
"551","Neopanamax Vessels (107’ beam and Over)","Percentage","8870","Booking Slots",2019-12-01
"552","Large Vessels (91’ beam to under 107’ beam)","Percentage","8881","Booking Slots",2019-12-01
"553","Regular Vessels (less than 91' beam)","Percentage","7258","Booking Slots",2019-12-01
"554","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2019-12-01
"555","Auctioned booking slots","Percentage","3125","Booking Slots",2019-12-01
"556","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2020-12-01
"557","Large Vessels (91’ beam to under 107’ beam)","Available","400","Booking Slots",2020-12-01
"558","Regular Vessels (less than 91' beam)","Available","186","Booking Slots",2020-12-01
"559","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2020-12-01
"560","Auctioned booking slots","Available","45","Booking Slots",2020-12-01
"561","Neopanamax Vessels (107’ beam and Over)","Used","2321","Booking Slots",2020-12-01
"562","Large Vessels (91’ beam to under 107’ beam)","Used","3841","Booking Slots",2020-12-01
"563","Regular Vessels (less than 91' beam)","Used","1481","Booking Slots",2020-12-01
"564","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2020-12-01
"565","Auctioned booking slots","Used","32","Booking Slots",2020-12-01
"566","Neopanamax Vessels (107’ beam and Over)","Percentage","9355","Booking Slots",2020-12-01
"567","Large Vessels (91’ beam to under 107’ beam)","Percentage","9600","Booking Slots",2020-12-01
"568","Regular Vessels (less than 91' beam)","Percentage","7957","Booking Slots",2020-12-01
"569","Regular Vessels (up to 300' in length)","Percentage","0","Booking Slots",2020-12-01
"570","Auctioned booking slots","Percentage","7111","Booking Slots",2020-12-01
"571","Neopanamax Vessels (107’ beam and Over)","Available","248","Booking Slots",2020-01-01
"572","Large Vessels (91’ beam to under 107’ beam)","Available","465","Booking Slots",2020-01-01
"573","Regular Vessels (less than 91' beam)","Available","248","Booking Slots",2020-01-01
"574","Regular Vessels (up to 300' in length)","Available","4","Booking Slots",2020-01-01
"575","Auctioned booking slots","Available","21","Booking Slots",2020-01-01
"576","Neopanamax Vessels (107’ beam and Over)","Used","218","Booking Slots",2020-01-01
"577","Large Vessels (91’ beam to under 107’ beam)","Used","4241","Booking Slots",2020-01-01
"578","Regular Vessels (less than 91' beam)","Used","1951","Booking Slots",2020-01-01
"579","Regular Vessels (up to 300' in length)","Used","3","Booking Slots",2020-01-01
"580","Auctioned booking slots","Used","7","Booking Slots",2020-01-01
"581","Neopanamax Vessels (107’ beam and Over)","Percentage","8790","Booking Slots",2020-01-01
"582","Large Vessels (91’ beam to under 107’ beam)","Percentage","9118","Booking Slots",2020-01-01
